epic,sector_desc
BDGKMY2,Pharmaceuticals & Biotechnology
0329200,Private Equity
0392105,Private Equity
0414850,Private Equity
0577656,Private Equity
0596286,Private Equity
3047468,Private Equity
B06CZD7,Private Equity
B08N4M0,Private Equity
B08S4K3,Private Equity
B0XLRJ7,Private Equity
B12MHD2,Private Equity
B1YW440,Private Equity
B23DL39,Private Equity
B4N1RV7,Private Equity
BD0FRW6,Private Equity
BD96PR1,Private Equity
BFNS016,Private Equity
BJVDZ94,Private Equity
BR30MJ8,Private Equity
BYRH498,Private Equity
BYXP9G8,Private Equity
0906409,Property
3369872,Property
B06GJ37,Property
B13VDP2,Property
B1436N6,Property
B19Z2J5,Property
B1XH2B9,Property
B4MFKH7,Property
B4ZPCJ0,Property
B6WC674,Property
BCDP4K3,Property
BY7R8K7,Real Estate
BD9PXH4,Real Estate
B1DVQL9,Real Estate Investment Trusts
0422864,Sector Specialist
3408009,Sector Specialist
B1DQ670,Sector Specialist
B29LSW5,Sector Specialist
B3Z6252,Sector Specialist
B4MF389,Sector Specialist
B92LHN5,Sector Specialist
BVFCRP1,Sector Specialist
B9XQT11,Financials
B1NNWQ2,Forestry & Timber
B0T4LH6,Infrastructure
B188SR5,Infrastructure
B4ZWPH0,Infrastructure
B6173J1,Infrastructure
B6QWXM4,Infrastructure
B8SC6K5,Infrastructure
BB0RDB9,Infrastructure
BBHX2H9,Infrastructure
BD3QJR5,Infrastructure
BF5FX16,Infrastructure
0339072,Tech Media & Telecommunications
0422002,Tech Media & Telecommunications
B28ZZX8,Specialist
0308544,Split Capital Trust
0482943,Split Capital Trust
0739207,Split Capital Trust
3073827,Split Capital Trust
3353790,Split Capital Trust
B0LCW20,Split Capital Trust
B403HK5,Split Capital Trust
BD2YGN5,Split Capital Trust
BDZTXY7,Split Capital Trust
BF1F1F0,Split Capital Trust
BYMJ7X4,Split Capital Trust
BYP98L6,Split Capital Trust
BYZQ1C9,Split Capital Trust
BZ0RY03,Split Capital Trust
BZ4BVN3,Split Capital Trust
BZ4BVP5,Split Capital Trust
BZ4BVT9,Split Capital Trust
BN56JF1,Technology Hardware & Equipment
0063326,UK All Companies
0173861,UK All Companies
0235761,UK All Companies
0435594,UK All Companies
0491206,UK All Companies
0610841,UK All Companies
0787972,UK All Companies
0787983,UK All Companies
0791348,UK All Companies
0853657,UK All Companies
B1DPVL6,UK All Companies
B1Z2SL4,UK All Companies
BF4JDH5,UK All Companies
BWXC7Y9,UK All Companies
0806372,UK Equity & Bond Income
0958057,UK Equity & Bond Income
B1LZS51,UK Equity & Bond Income
B1N4G29,UK Equity & Bond Income
B1N4H59,UK Equity & Bond Income
B6RMDP6,UK Equity & Bond Income
0065311,UK Equity Income
0199049,UK Equity Income
0305233,UK Equity Income
0340609,UK Equity Income
0342218,UK Equity Income
0346328,UK Equity Income
0358572,UK Equity Income
0370866,UK Equity Income
0536806,UK Equity Income
0580007,UK Equity Income
0603959,UK Equity Income
0611112,UK Equity Income
0679842,UK Equity Income
0781606,UK Equity Income
0791586,UK Equity Income
0805250,UK Equity Income
0848471,UK Equity Income
0882532,UK Equity Income
3096169,UK Equity Income
3408021,UK Equity Income
B65TLW2,UK Equity Income
0225847,UK Growth
0465825,UK Growth & Income
0661582,UK High Income
B1N4H93,UK High Income
0006655,UK Smaller Companies
0060929,UK Smaller Companies
0068417,UK Smaller Companies
0262134,UK Smaller Companies
0295958,UK Smaller Companies
0600756,UK Smaller Companies
0643610,UK Smaller Companies
0741600,UK Smaller Companies
0891055,UK Smaller Companies
0906506,UK Smaller Companies
B0BDCB2,UK Smaller Companies
B1FL3C7,UK Smaller Companies
B1GCL25,UK Smaller Companies
BDG13K8,UK Smaller Companies
BWFGQ08,UK Smaller Companies
B99R1Q7,Unclassified
