epic,desc,pd,pd12,charge,spread
B05NYM3,,1.25,4.58,2.16,2.55
B06CZD7,,-5.82,28.42,6.94,28.57
B06GJ37,,-66.62,-71.43,0.00,7.14
B073G36,,-33.77,-54.98,11.85,39.20
B08N4M0,,-37.42,-24.06,4.90,6.67
B08S4K3,,-4.46,18.99,5.75,6.09
B09G3N2,,-5.05,-6.42,0.96,0.30
B0BDCB2,,-12.85,-13.70,2.42,2.16
B0BN1P9,,-4.05,-7.82,1.29,2.90
B0CRWN5,,0.39,0.65,1.95,1.61
B0DQY35,,-13.96,-11.23,2.82,0.91
B0HW536,,2.57,2.21,2.29,1.18
B0LCW20,,-5.96,-1.87,2.47,0.83
B0N8MF9,,-1.99,-5.22,1.39,3.48
B0P6J83,,-6.95,-7.33,1.19,0.48
B0P8RJ6,,-8.59,-15.26,1.79,1.87
B0T4LH6,,-2.76,6.54,1.18,0.07
B0XLRJ7,,-15.46,-23.85,3.51,2.31
B11V7W9,,-4.08,-5.44,0.54,0.14
B120GL7,,-2.92,-5.30,1.57,2.16
B12MHD2,,-32.98,-36.28,0.65,2.83
B13YVW4,,-1.00,-2.23,0.39,0.67
B1436N6,,-21.53,-31.37,5.03,2.56
B15FW33,,16.27,-2.43,3.12,3.41
B15PV03,,-8.94,-10.64,1.26,0.41
B16GQJ9,,-3.15,62.50,37.71,40.00
B17XWW4,,-8.10,-8.08,1.10,1.22
B188SR5,,6.50,9.40,1.24,0.13
B18JK16,,-8.90,-9.06,1.07,1.59
B19Z2J5,,-5.53,1.40,1.43,0.34
B1DPVL6,,0.07,-1.35,1.38,2.23
B1DQ647,,1.22,-1.38,0.98,2.88
B1DQ669,,0.91,-1.51,1.20,2.86
B1DQ670,,-1.34,-1.66,0.40,1.94
B1DVQL9,,28.58,38.75,3.47,0.24
B1FL3C7,,-5.63,-5.11,1.27,0.82
B1G9T99,,-8.73,-15.97,3.16,7.58
B1GCL25,,-13.25,-18.10,1.36,3.73
B1GJQ98,,-55.89,-52.33,2.48,13.51
B1GXH75,,-0.39,1.44,1.12,1.38
B1LZS51,,2.58,5.62,1.21,1.00
B1N4G29,,-3.78,-6.77,1.09,1.94
B1N4H59,,-3.72,-6.67,1.09,1.94
B1N4H93,,-2.59,-7.53,1.02,1.43
B1NNWQ2,,-47.34,-53.32,0.20,2.56
B1NP514,,-6.40,-7.89,2.13,0.48
B1NPGV1,,-6.32,-5.83,2.13,1.89
B1W59J1,,-10.08,-6.80,2.01,3.31
B1XH2B9,,-52.33,-58.04,5.08,15.56
B1YQ6R9,,-15.32,-16.97,2.45,3.07
B1YQ721,,-17.28,-12.54,2.45,0.61
B1YW440,,31.27,35.40,2.15,0.04
B1Z2SL4,,3.83,-1.03,3.08,3.00
B23DL39,,-28.52,-25.32,1.07,1.81
B28Y104,,,,,1.42
B28ZZS3,,,,,1.49
B28ZZX8,,-19.01,-17.73,2.28,0.63
B29LSW5,,-37.72,-61.86,7.36,4.55
B2NBJ06,,0.82,-7.58,2.86,1.98
B2NBJ28,,-0.83,1.58,2.86,1.05
B2NBJ40,,-2.28,-4.63,6.57,2.04
B2PP252,,4.76,0.84,0.95,1.98
B2PP3J3,,3.51,1.68,1.10,3.62
B2QQPS8,,-6.56,-6.38,3.17,2.10
B2QQPT9,,-6.33,-9.14,3.17,1.05
B39VMM0,,-17.52,-18.68,3.32,10.50
B3B3WB3,,16.37,-4.92,10.06,1.79
B3BTVQ9,,-12.18,-18.34,1.65,1.96
B3KX4Q3,,-3.70,-1.73,0.94,0.11
B3P7S35,,-4.14,-0.53,0.94,2.08
B3PHCS8,,3.99,0.41,0.90,1.56
B3SXM83,,4.99,3.05,1.68,1.24
B3YX0W7,,,,,8.96
B3Z6252,,25.19,32.71,1.03,3.67
B403HK5,,-37.63,-30.15,4.78,2.23
B44ZTP6,,-12.20,-12.71,1.99,0.28
B45L2K9,,-10.32,-13.08,1.10,0.32
B4L0PD4,,-12.16,-12.77,1.43,0.28
B4MF389,,-1.31,12.23,1.37,3.85
B4MFKH7,,-22.09,3.33,99.00,9.09
B4N1RV7,,-47.09,-32.95,0.28,8.00
B4ZPCJ0,,0.21,2.51,1.07,0.71
B4ZWPH0,,1.39,11.29,1.48,0.17
B5KVCW3,,,,,7.02
B5ZZY91,,-4.27,-2.57,1.30,0.77
B602HS4,,-10.65,-14.67,1.99,4.86
B6116N8,,-5.57,-3.50,0.98,0.81
B6173J1,,6.93,15.02,1.09,0.33
B61ND55,,-5.04,-8.89,1.53,0.86
B62Z3C7,,-12.79,-12.59,1.16,0.22
B65TLW2,,-0.05,-1.50,1.17,1.94
B6686L2,,-7.81,-22.47,2.17,8.00
B6832P1,,-0.41,-1.61,1.50,2.05
B6QWXM4,,10.61,12.85,0.95,0.74
B6RMDP6,,-2.01,1.39,1.01,0.53
B6T0TM7,Page cannot be found | Hargreaves Lansdown,,,,0.53
B6VTTK0,,3.93,1.03,0.67,2.07
B6WC674,,0.00,0.00,6.43,23.08
B6YVTS1,,,,,2.94
B79WC10,,4.73,7.81,1.01,1.38
B7VSCF0,,49.82,0.00,6.07,40.00
B7W0XJ6,,-2.58,-6.58,1.08,0.63
B7ZMLM8,,,,,3.64
B8C23S8,,2.21,1.83,1.63,0.98
B8P59C0,,30.72,19.08,1.45,0.20
B8SC6K5,,8.78,9.96,1.37,0.17
B90J5Z9,,0.49,2.73,1.01,0.84
B92LHN5,,41.51,53.98,0.81,2.97
B96SW59,,-1.40,-3.46,0.99,1.24
B986V54,,70.65,163.74,88.27,33.33
B99R1Q7,,0.00,0.00,7.41,2.01
B9MRHZ5,,0.72,0.68,0.19,2.17
B9XQT11,,-1.27,-5.58,1.02,0.35
BB0RDB9,,6.55,6.47,1.12,0.88
BBHX2H9,,5.78,9.44,1.09,0.20
BBM56V2,,-12.97,-12.96,0.93,0.85
BCDP4K3,,1.64,0.00,10.06,2.82
BCKFVJ4,,-40.94,-43.59,7.56,6.86
BD0FRW6,,7.92,0.00,2.28,1.75
BD25J51,Page cannot be found | Hargreaves Lansdown,,,,1.75
BD2YGN5,,13.25,9.36,1.24,3.15
BD3QJR5,,4.22,5.03,1.16,1.42
BD9PXH4,,7.55,2.03,0.00,1.42
BD9X204,,-10.79,-13.89,0.00,0.43
BDG13K8,,-8.00,-0.64,5.52,3.24
BDGKMY2,,2.38,6.53,0.00,0.96
BDHXP96,,2.12,0.00,1.48,1.90
BDR0575,,0.76,2.62,0.00,2.78
BDZTXY7,,5.18,4.23,1.24,1.86
BF03YC3,,1.36,3.22,1.62,1.97
BF0SCX5,,-1.46,4.99,0.00,2.60
BFD3V96,,-2.70,-2.28,1.20,2.60
BH7JH18,,-13.90,-15.90,2.48,2.56
BJ0JVY0,,5.06,7.27,1.28,0.46
BJL5F34,,2.43,-2.42,1.47,0.74
BJL5FH8,,6.02,9.21,1.46,1.47
BJVDZ94,,2.27,3.06,1.21,1.58
BK1PKQ9,,-6.09,-9.06,0.99,0.22
BKZGVH6,,-3.33,-4.88,0.62,0.39
BLDYK61,,0.95,2.28,0.44,0.09
BLSNND1,,1.02,0.30,1.85,0.41
BMPHJ80,,-7.25,-1.39,1.21,2.41
BMTS0Z3,,-7.33,-10.16,1.13,0.98
BN56JF1,,-9.83,3.46,1.90,1.11
BNH7RK3,,,,,1.46
BP46PR0,,,,,6.25
BR30MJ8,,-17.82,-16.32,0.34,0.49
BTLJYS4,,-1.53,-4.20,1.33,2.38
BVFCRP1,,-13.35,1.89,3.20,2.67
BVG1CF2,,-8.80,-5.25,0.18,0.64
BWFGQ08,,-1.40,-3.51,1.58,3.01
BWXC7Y9,,-1.83,-4.66,1.06,0.80
BY7R8K7,,-12.39,-3.22,8.86,1.44
BYMJ7X4,,6.32,0.00,1.63,0.65
BYMKY69,,3.98,-0.78,1.23,0.63
BYP98L6,,6.12,6.48,4.04,3.36
BYPBD39,,-3.16,-4.09,0.00,5.74
BYPBD51,,6.40,0.05,0.00,1.83
BYR8GK6,,15.47,10.47,1.51,0.10
BYRH498,,-28.18,-22.33,3.69,2.40
BYSRMH1,,6.09,2.91,1.25,2.58
BYT2554,,-4.68,1.96,0.00,5.38
BYTRG23,,-26.45,-29.94,3.90,3.47
BYW1DN2,,2.39,0.00,0.00,1.96
BYWWMM7,,-51.29,-34.81,0.00,7.41
BYWYZ46,,,,,6.25
BYXP9G8,,-45.41,-42.71,0.21,7.69
BYXVT88,,-18.44,-19.09,4.44,0.59
BYXX8B0,,3.69,6.48,1.89,1.45
BYYJCZ9,,3.01,3.04,0.88,1.44
BYZV3G2,,11.49,13.40,2.28,0.88
BZ0RY03,,11.03,0.00,4.78,2.28
BZ0XWD0,,-20.80,-25.52,2.09,2.94
BZ3C3B9,,,,,2.78
BZ4BVN3,,-35.93,-40.40,1.24,3.61
BZ4BVP5,,3.88,6.01,1.24,0.63
BZ4BVT9,,10.95,12.70,1.24,1.39
BZ7MQD8,,6.64,0.00,1.89,2.78
BZCNLL9,,2.97,2.26,0.00,0.91
