epic,desc,charge,spread
B4MXM64,,0.46,0.08
B4NFRC0,,0.46,0.20
B4NL5C4,,0.46,0.14
B4P67F4,,0.65,0.24
B4PT173,,0.25,0.00
B4QNHH6,,0.40,0.42
B4QNHZ4,,0.60,0.79
B4QNJJ2,,0.50,0.55
B4QNK00,,0.60,0.19
B4STTG5,,0.09,0.12
B4VG929,,0.48,0.28
B4WB860,,0.43,0.18
B4WN004,,0.60,0.56
B4WPHX2,,0.30,0.21
B4WXJD0,,0.60,0.20
B4WXJM9,,0.60,0.23
B4X9L53,,0.15,0.15
B4XKCN1,,0.33,0.11
B4XQMC8,,0.46,0.18
B4YBJ21,,0.30,0.29
B4Z6YS6,,0.58,0.57
B4Z7940,,0.10,0.14
B502KH7,,0.48,0.08
B50YWZ5,,0.07,0.06
B5149Q4,,0.65,0.15
B518375,,0.07,0.13
B51PG22,,0.65,0.36
B51WGY5,,0.30,0.38
B520ZV8,,0.10,0.10
B521C87,,0.07,0.10
B52FJN3,,0.58,0.16
B52FK41,,0.60,0.13
B52VJ19,,0.30,0.21
B52XQP8,,0.65,0.35
B52XR66,,0.65,0.39
B52YSM2,,0.50,0.20
B539440,,0.65,0.24
B53H013,,0.37,0.30
B53HXJ2,,0.33,0.06
B53WKP2,,0.33,0.21
B540668,,0.05,0.11
B542V81,,0.33,0.04
B5497R3,,0.33,0.09
B54DM92,,0.46,0.28
B54TDV9,,0.40,1.03
B554N24,,0.60,0.64
B55LJY9,,0.65,0.34
B55Q955,,0.33,0.07
B56T0F0,,0.60,0.64
B57JD27,,0.35,0.42
B57QMP4,,0.60,0.58
B57Y946,,0.40,0.07
B580X30,,0.20,0.24
B5840F3,,0.25,0.03
B588CD7,,0.25,0.05
B599TV6,,0.29,0.04
B5BD198,,0.15,0.17
B5BD5K7,,0.20,0.13
B5KQNG9,,0.09,0.14
B5L01S8,,0.40,0.32
B5LP3W1,,0.60,0.28
B5M1WJ8,,0.30,0.21
B5MJSV6,,0.46,0.13
B5N33Z6,,0.35,0.48
B5NRV32,,0.65,0.56
B5QM0F9,,0.33,0.24
B5SG8Z5,,0.40,0.31
B5SZD35,,0.65,0.46
B5SZDQ8,,0.30,0.15
B5SZKJ0,,0.30,0.14
B5SZKS9,,0.30,0.15
B5TGZG4,,0.30,0.14
B5TP7K9,,0.30,0.13
B5V8739,,0.65,0.25
B5V9TD6,,0.30,0.48
B5VX756,,0.19,0.29
B5VZ097,,0.30,0.15
B5W34K9,,0.60,0.34
B5WFQ43,,0.30,0.14
B5WLZJ9,,0.30,0.17
B5ZPRQ9,,0.40,0.18
B60CDJ7,,0.65,0.52
B614SD1,,0.35,0.28
B6191M6,,0.46,0.18
B61BDZ9,,0.60,0.21
B62NTH8,,0.60,0.43
B62SW52,,0.40,0.48
B631GS1,,1.20,0.63
B635CC9,,0.45,0.33
B645G59,,0.55,0.49
B653CR6,,0.30,0.64
B653D73,,0.30,0.65
B65CS86,,0.30,0.55
B66C6Q9,,0.30,0.65
B66SS94,,0.39,0.06
B66Y4S3,,0.30,0.62
B6873M7,,0.55,0.08
B68KHX5,,0.30,0.65
B690381,,0.15,0.12
B6R2GC4,,0.30,0.15
B6R51Q2,,0.55,0.18
B6R51R3,,0.55,0.20
B6R51S4,,0.55,0.15
B6R51T5,,0.60,0.22
B6S2Z82,,0.30,0.26
B6T6TR0,,1.25,0.18
B6TMFC5,,0.40,0.30
B6TWGH7,,0.25,0.29
B6VJTX3,,0.40,0.66
B6WFJB8,,0.40,0.24
B6WFJC9,,0.40,0.21
B6WFJF2,,0.55,0.27
B6WFJK7,,0.55,0.71
B6WFJL8,,0.42,0.31
B6YRHS5,,0.33,0.74
B6YW638,,0.45,0.14
B6YX5C3,,0.09,0.08
B6YX5D4,,0.35,0.10
B739W06,,0.35,0.59
B7452L4,,0.20,0.30
B762DP4,,0.75,1.04
B76HL88,,0.45,0.51
B79W2J8,,0.33,0.62
B7K2811,,0.18,0.42
B7NLLH2,,0.25,0.32
B7NLLS3,,0.07,0.08
B7RMD19,,0.20,0.30
